acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.29,-9.72,1.5,-0.11,0.01,-0.01,STD
-1.06,-9.73,1.54,-0.13,0.02,0,STD
-1.1,-9.65,1.56,-0.13,-0.03,-0.02,STD
-1.06,-9.77,1.62,-0.08,-0.06,-0.01,STD
-1.18,-9.74,1.5,-0.1,-0.03,-0.02,STD
-1.17,-9.67,1.71,-0.08,0.03,0.03,STD
-1.01,-9.68,1.43,-0.06,0.09,-0.01,STD
-0.98,-9.68,1.41,-0.07,-0.03,0.02,STD
-1,-9.62,1.34,-0.09,-0.05,-0.05,STD
-1.07,-9.67,1.44,-0.07,0.04,-0.03,STD
-1.08,-9.69,1.27,-0.1,0,-0.03,STD
-1.14,-9.6,1.56,-0.14,0.01,-0.04,STD
-1.14,-9.67,1.49,-0.08,0.02,-0.03,STD
-1.28,-9.69,1.44,-0.15,0,-0.01,STD
-1.15,-9.63,1.58,-0.1,-0.07,0.03,STD
-1.34,-9.68,1.52,-0.11,-0.01,-0.01,STD
-1.25,-9.74,1.58,-0.11,0.01,0.04,STD
-1.12,-9.73,1.53,-0.09,0.01,0.01,STD
-1.07,-9.69,1.52,-0.09,-0.04,0.01,STD
-1.19,-9.62,1.52,-0.08,-0.01,-0.02,STD
-1.06,-9.74,1.44,-0.07,-0.01,-0.01,STD
-1.13,-9.69,1.49,-0.11,-0.02,-0.03,STD
-1.08,-9.7,1.5,-0.1,-0.06,-0.03,STD
-1.17,-9.69,1.45,-0.08,-0.06,-0.03,STD
-1.2,-9.66,1.57,-0.11,0,-0.03,STD
-1.08,-9.69,1.36,-0.06,0,-0.02,STD
-1.18,-9.63,1.51,-0.13,-0.04,0,STD
-1.06,-9.68,1.49,-0.06,0.04,-0.02,STD
-1.07,-9.71,1.42,-0.09,0.05,-0.01,STD
-1.04,-9.65,1.53,-0.11,0.03,-0.03,STD
-1.14,-9.64,1.55,-0.07,-0.02,-0.03,STD
-1.11,-9.66,1.41,-0.11,-0.01,-0.04,STD
-1.2,-9.66,1.55,-0.1,-0.05,-0.05,STD
-1.2,-9.69,1.42,-0.1,-0.06,-0.06,STD
-1.3,-9.73,1.62,-0.1,-0.04,0,STD
-1.14,-9.84,1.54,-0.09,-0.01,0,STD
-1.04,-9.6,1.55,-0.09,-0.03,-0.02,STD
-1.12,-9.58,1.73,-0.08,-0.16,-0.03,STD
-1.11,-9.7,1.48,-0.04,-0.12,-0.02,STD
-1.22,-9.7,1.45,-0.12,-0.02,-0.01,STD
-1.09,-9.61,1.59,-0.08,-0.05,0.03,STD
-1.02,-9.65,1.47,-0.08,0.03,0.01,STD
-1.04,-9.67,1.53,-0.09,0,0.02,STD
-1.01,-9.67,1.47,-0.1,0.01,0.01,STD
-0.97,-9.66,1.58,-0.1,0.01,-0.01,STD
-1.07,-9.65,1.57,-0.1,0.01,-0.02,STD
-0.98,-9.75,1.67,-0.08,0.01,-0.02,STD
-1.16,-9.62,1.58,-0.1,-0.01,-0.05,STD
-1.1,-9.67,1.75,-0.07,0,-0.02,STD
-1.15,-9.71,1.5,-0.08,0.02,-0.04,STD
-1.13,-9.64,1.63,-0.09,0,0,STD
-1.21,-9.63,1.55,-0.08,0,-0.03,STD
-1.07,-9.66,1.51,-0.1,-0.02,-0.01,STD
-1.12,-9.66,1.53,-0.1,-0.03,-0.01,STD
-1.13,-9.71,1.5,-0.1,-0.01,-0.02,STD
-1.15,-9.64,1.59,-0.13,-0.02,0,STD
-1.04,-9.7,1.63,-0.09,0.01,-0.01,STD
-1.07,-9.65,1.5,-0.1,0.01,-0.01,STD
-1.11,-9.64,1.7,-0.12,-0.02,0.01,STD
-0.97,-9.7,1.58,-0.07,0.02,-0.02,STD
-1.04,-9.67,1.55,-0.11,0,-0.02,STD
-1.13,-9.61,1.66,-0.09,0,-0.02,STD
-1.04,-9.68,1.52,-0.07,0.03,-0.02,STD
-1.11,-9.72,1.49,-0.11,0.01,-0.04,STD
-1.11,-9.65,1.71,-0.1,-0.01,-0.01,STD
-1.12,-9.76,1.53,-0.06,0.03,-0.05,STD
-1.2,-9.68,1.73,-0.13,-0.04,0,STD
-1.02,-9.77,1.65,-0.02,0.02,-0.05,STD
-1.3,-9.74,1.7,-0.1,-0.05,0.02,STD
-1.1,-9.58,1.91,-0.04,0,0,STD
-1.28,-9.58,1.62,-0.01,0.07,0.04,STD
-1.06,-9.86,1.69,0,0.05,0.04,STD
-1.07,-9.56,1.41,-0.07,0.11,0.06,STD
-0.83,-9.48,1.66,-0.06,0.11,0.03,STD
-0.96,-9.53,1.38,-0.08,0.03,-0.04,STD
-1.07,-9.64,1.58,-0.12,0.04,-0.06,STD
