acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.93,-1.66,1.96,-1.19,0.33,-1.38,JOG
-3.56,-5.09,4.42,-0.7,1.07,-2.01,JOG
-3.58,-5.58,6.47,-0.15,1.23,-1.14,JOG
-11.98,-1.99,5.85,-0.07,-1.09,-0.91,JOG
-12.12,2.73,6.75,1.97,1.21,-1.37,JOG
-21.16,6.08,0.35,2.74,-0.59,-1.46,JOG
-16.9,7.31,0.86,2.36,-2.18,-2.18,JOG
-9.24,5.48,-0.5,2.08,-3.32,-2.8,JOG
-6.38,5.99,-0.67,1.61,-3.51,-2.32,JOG
-5.51,7.85,-4.76,1.76,-0.83,-0.67,JOG
-8.28,7.69,-6.45,0.58,2.7,1.46,JOG
-12.73,5.13,-5.8,-1.64,3.22,3.52,JOG
-18.78,6.01,0.85,-2.68,0.41,4.43,JOG
-12.25,5.68,5.81,-1.38,0.23,2.65,JOG
-7.4,1.76,2.09,-0.99,-0.42,0.14,JOG
-2.82,-1.29,3.01,-1.98,-0.19,-0.82,JOG
-2.81,-4.92,5,-2.02,0.16,-0.7,JOG
-1.19,-5.59,5.18,-1.38,0.99,-0.55,JOG
-6.25,-3.72,6.47,0.3,-0.06,-0.59,JOG
-8.67,0.55,7.66,1.95,1.39,-0.61,JOG
-18.49,5.97,4.57,2.69,1.03,-2.15,JOG
-17.63,7.71,3.08,1.83,-1.95,-1.5,JOG
-9.82,6.55,2.02,1.43,-1.25,-2.77,JOG
-5.31,6.35,0.74,2.47,0.41,-2.34,JOG
-2.88,6.6,-5.02,1.76,1.01,-0.71,JOG
-7.88,7.52,-5.04,0.34,-0.12,0.73,JOG
-13.09,5.2,-5.29,-1.59,2.22,2.96,JOG
-22.73,6.94,-4.88,-2.22,0.79,3.36,JOG
-16.18,4.98,-2.06,-2.68,0.79,3.17,JOG
-9.5,2.38,0.5,-2.44,-0.44,1.23,JOG
-3.12,-0.84,2.1,-2.61,0.15,0.38,JOG
-1.24,-4.72,4.54,-1.86,-0.11,-0.35,JOG
-0.25,-6.8,2.99,-0.96,-0.18,0.16,JOG
-0.03,-4.68,5.7,-0.39,-0.99,-0.6,JOG
-5.42,-1.29,8.41,0.55,-0.15,-1.05,JOG
-18.33,4.28,7.58,2.21,1.68,-3,JOG
-20.36,5.92,5.21,1.55,-1.65,-2.02,JOG
-14.03,5.13,5.4,1.5,-1.83,-2.99,JOG
-7.6,4.88,1.96,1.71,-1.44,-3.18,JOG
-5.31,5.76,-1.47,1.78,-0.09,-2.07,JOG
-6.65,7.31,-3.66,1.01,1.56,-0.59,JOG
-13.44,4.95,-5.92,-0.62,1.77,2.44,JOG
-16.56,4.23,-1.86,-2.81,3.38,4.65,JOG
-18.96,5.31,-3.81,-2.91,1.22,3.91,JOG
-14.13,4.89,0.33,-3.16,0.51,2.99,JOG
-6.16,1.16,1.72,-2.38,1.23,1.2,JOG
-1.6,-2.93,3.61,-2.12,1.03,-0.08,JOG
-1.65,-6.81,4.91,-1.09,-0.25,-0.51,JOG
-0.26,-5.84,5.84,-0.4,0.05,-0.21,JOG
