acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-3.68,-8.45,0.7,0.18,0.32,-0.82,WAL
-5.07,-5.55,1.19,0.03,0.81,-1.01,WAL
-5.06,-8.16,2.11,-0.06,0.28,-0.87,WAL
-4.71,-7.85,1.54,-0.07,0.37,-1.29,WAL
-5.23,-6.25,1.62,-0.31,0.27,-1.54,WAL
-5.73,-7.43,2.93,-0.17,0.12,-1.71,WAL
-7.2,-7.74,2.37,0,0.12,-1.85,WAL
-8.43,-7.71,2.23,0.05,0.24,-1.7,WAL
-9.64,-8.26,2.43,0.1,0.13,-1.13,WAL
-9.91,-9.94,2.26,0.23,0.21,-0.48,WAL
-9.05,-7.9,1.29,0.03,0.27,0.01,WAL
-7.89,-6.73,1.42,-0.08,0.02,0.83,WAL
-7.07,-8.49,0.95,-0.23,-0.61,1.26,WAL
-6.72,-8.12,1.31,-0.38,-0.54,1.37,WAL
-6.2,-7.51,1.15,-0.36,-0.46,1.67,WAL
-5.77,-8.4,1.24,-0.28,-0.41,1.85,WAL
-5.04,-8.77,0.9,-0.29,-0.44,1.81,WAL
-4.26,-8.37,1.14,-0.22,-0.12,1.45,WAL
-3.96,-8.49,1.09,-0.13,-0.04,1.01,WAL
-3.79,-8.87,1.62,-0.05,0.05,0.43,WAL
-3.87,-10.24,1.64,0.17,-0.03,-0.48,WAL
-4.43,-6.05,1.03,0.04,0.49,-1.04,WAL
-4.58,-7.96,1.09,0.03,0.47,-0.96,WAL
-5.08,-8.45,1.8,-0.17,0.13,-1.37,WAL
-5.33,-6.68,1.46,-0.23,0.21,-1.6,WAL
-5.55,-7.08,2.17,-0.21,0.25,-1.51,WAL
-6.42,-7.79,2.22,-0.03,0.21,-1.66,WAL
-7.74,-7.4,2.08,-0.01,0.25,-1.68,WAL
-9.06,-8.26,2.43,-0.03,0.01,-1.26,WAL
-9.61,-8.39,2.29,-0.01,-0.09,-0.69,WAL
-9.68,-9.31,2.25,0.13,0.2,-0.08,WAL
-8.5,-6.51,1.38,0.04,0.24,0.71,WAL
-7.3,-7.59,1.53,-0.09,-0.22,1.42,WAL
-6.44,-9.27,1.28,-0.25,-0.85,1.53,WAL
-6.25,-8.26,1.07,-0.32,-0.5,1.51,WAL
-6.09,-8.04,1.3,-0.28,-0.33,1.71,WAL
-5.24,-8.73,1.16,-0.12,-0.27,1.77,WAL
-4.35,-8.52,0.93,-0.08,-0.06,1.52,WAL
-3.74,-8.01,0.83,-0.03,0.01,1.17,WAL
-3.68,-8.5,1.16,-0.06,-0.03,0.63,WAL
-3.98,-9.02,1.53,-0.06,-0.02,0.12,WAL
-3.69,-10.31,1.75,0.13,0.06,-0.73,WAL
-4.9,-6.43,0.9,0.01,0.42,-1.23,WAL
-4.75,-7.77,1.42,-0.1,0.45,-1.1,WAL
-5.28,-8.88,1.84,-0.17,0.14,-1.4,WAL
-5.6,-7.52,1.64,-0.19,0.25,-1.68,WAL
-5.84,-7.1,1.72,-0.24,0.28,-1.58,WAL
-6.11,-7.94,2.15,-0.01,0.26,-1.64,WAL
-6.72,-7.67,1.64,0.03,0.3,-1.73,WAL
